Date,From Currency,To Currency,Rate
2019-06-28,USD,GBP,0.7878295255
2019-06-28,USD,INR,69.0017574692
2019-06-28,USD,EUR,0.8787346221
2019-06-28,USD,USD,1.0
2019-07-15,USD,GBP,0.7975241814
2019-07-15,USD,INR,68.5247138167
2019-07-15,USD,EUR,0.8873901855
2019-07-15,USD,USD,1.0
2020-06-04,USD,GBP,0.7972
2020-06-04,USD,INR,75.4951111111
2020-06-04,USD,EUR,0.8888888889
2020-06-04,USD,USD,1.0
2019-09-23,USD,GBP,0.8042148384
2019-09-23,USD,INR,70.9517523896
2019-09-23,USD,EUR,0.9103322713
2019-09-23,USD,USD,1.0
2019-07-04,USD,GBP,0.7949149539
2019-07-04,USD,INR,68.5094790928
2019-07-04,USD,EUR,0.8858965273
2019-07-04,USD,USD,1.0
2020-04-07,USD,GBP,0.8093063849
2020-04-07,USD,INR,75.5645383555
2020-04-07,USD,EUR,0.9186954525
2020-04-07,USD,USD,1.0
2019-07-25,USD,GBP,0.8003868646
2019-07-25,USD,INR,68.9833558255
2019-07-25,USD,EUR,0.8996851102
2019-07-25,USD,USD,1.0
2019-11-04,USD,GBP,0.7740455279
2019-11-04,USD,INR,70.7299695286
2019-11-04,USD,EUR,0.8962179602
2019-11-04,USD,USD,1.0
2020-05-06,USD,GBP,0.8073748496
2020-05-06,USD,INR,75.8596280189
2020-05-06,USD,EUR,0.9253261775
2020-05-06,USD,USD,1.0
2019-08-23,USD,GBP,0.8174694984
2019-08-23,USD,INR,71.6710347944
2019-08-23,USD,EUR,0.9037505648
2019-08-23,USD,USD,1.0
2019-09-20,USD,GBP,0.7999093382
2019-09-20,USD,INR,70.9814143246
2019-09-20,USD,EUR,0.9066183137
2019-09-20,USD,USD,1.0
2019-07-11,USD,GBP,0.795657953
2019-07-11,USD,INR,68.3646433319
2019-07-11,USD,EUR,0.8861320337
2019-07-11,USD,USD,1.0
2020-04-28,USD,GBP,0.8005700101
2020-04-28,USD,INR,75.8683460513
2020-04-28,USD,EUR,0.9193711501
2020-04-28,USD,USD,1.0
2020-02-24,USD,GBP,0.774939915
2020-02-24,USD,INR,71.9416712886
2020-02-24,USD,EUR,0.9243852838
2020-02-24,USD,USD,1.0
2019-10-21,USD,GBP,0.7690861899
2019-10-21,USD,INR,70.8574241475
2019-10-21,USD,EUR,0.8950147677
2019-10-21,USD,USD,1.0
2020-06-05,USD,GBP,0.7894792586
2020-06-05,USD,INR,75.5781112092
2020-06-05,USD,EUR,0.8826125331
2020-06-05,USD,USD,1.0
2020-05-20,USD,GBP,0.8154590254
2020-05-20,USD,INR,75.6191823325
2020-05-20,USD,EUR,0.9125752875
2020-05-20,USD,USD,1.0
2019-10-08,USD,GBP,0.8173584562
2019-10-08,USD,INR,71.1305297652
2019-10-08,USD,EUR,0.9102494083
2019-10-08,USD,USD,1.0
2020-03-06,USD,GBP,0.7689220183
2020-03-06,USD,INR,73.7350035286
2020-03-06,USD,EUR,0.8821453776
2020-03-06,USD,USD,1.0
2020-04-24,USD,GBP,0.8101666667
2020-04-24,USD,INR,76.2648148148
2020-04-24,USD,EUR,0.9259259259
2020-04-24,USD,USD,1.0
2020-06-02,USD,GBP,0.7972346519
2020-06-02,USD,INR,75.2094147127
2020-06-02,USD,EUR,0.8949346698
2020-06-02,USD,USD,1.0
2020-05-21,USD,GBP,0.8176636364
2020-05-21,USD,INR,75.5040909091
2020-05-21,USD,EUR,0.9090909091
2020-05-21,USD,USD,1.0
2019-09-25,USD,GBP,0.8073939173
2019-09-25,USD,INR,71.0448916409
2019-09-25,USD,EUR,0.9105809506
2019-09-25,USD,USD,1.0
2019-07-18,USD,GBP,0.8011144793
2019-07-18,USD,INR,68.8993402282
2019-07-18,USD,EUR,0.8915834522
2019-07-18,USD,USD,1.0
2019-10-24,USD,GBP,0.7754133717
2019-10-24,USD,INR,71.0118619698
2019-10-24,USD,EUR,0.8986340762
2019-10-24,USD,USD,1.0
2020-01-17,USD,GBP,0.7661595247
2020-01-17,USD,INR,71.0809326611
2020-01-17,USD,EUR,0.9002520706
2020-01-17,USD,USD,1.0
2019-08-22,USD,GBP,0.8224307498
2019-08-22,USD,INR,71.811783813
2019-08-22,USD,EUR,0.9022827754
2019-08-22,USD,USD,1.0
2019-09-26,USD,GBP,0.8091515816
2019-09-26,USD,INR,70.9087584568
2019-09-26,USD,EUR,0.9142439203
2019-09-26,USD,USD,1.0
2020-01-03,USD,GBP,0.7635686732
2020-01-03,USD,INR,71.7758141204
2020-01-03,USD,EUR,0.8971023594
2020-01-03,USD,USD,1.0
2019-10-25,USD,GBP,0.7796704781
2019-10-25,USD,INR,70.9025839561
2019-10-25,USD,EUR,0.9003331233
2019-10-25,USD,USD,1.0
2020-01-09,USD,GBP,0.7676417642
2020-01-09,USD,INR,71.2529252925
2020-01-09,USD,EUR,0.900090009
2020-01-09,USD,USD,1.0
2020-04-03,USD,GBP,0.8145572554
2020-04-03,USD,INR,76.2318034307
2020-04-03,USD,EUR,0.9272137228
2020-04-03,USD,USD,1.0
2019-06-13,USD,GBP,0.7879174418
2019-06-13,USD,INR,69.5141287979
2019-06-13,USD,EUR,0.885818053
2019-06-13,USD,USD,1.0
2020-02-07,USD,GBP,0.7723584648
2020-02-07,USD,INR,71.4399671802
2020-02-07,USD,EUR,0.9116601331
2020-02-07,USD,USD,1.0
2019-09-17,USD,GBP,0.8054870307
